stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
37,0.5,3.0,42.71725814200181,,42.705436386000656,42.71725814200181,43.203306909003004,43.203306909003004,43.214842804998625,43.49813053300022,44.038284225003736,right,3.0,1,1,0.8294051799966837,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
38,0.5,3.0,44.0473631040004,,44.03858687200409,44.0473631040004,44.536927957000444,44.536927957000444,44.536927957000444,44.83149928200146,45.80632186499861,right,3.0,1,1,1.2643271609995281,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
39,0.5,3.0,45.814431933999,,45.806587412000226,45.814431933999,46.30358128200169,46.30358128200169,46.30358128200169,46.59796340500179,48.0071165929985,right,3.0,1,1,1.7002657630000613,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
40,0.5,2.5,48.01381898100226,,48.00741034400562,48.01381898100226,48.50380801600113,48.50380801600113,48.50380801600113,48.79818463999982,50.25617782599875,right,2.5,0,0,1.7479664490019786,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
41,0.5,3.0,50.26383783300116,,50.25644991000445,50.26383783300116,50.75370971600205,50.75370971600205,50.75370971600205,51.04786517500179,51.21803349000402,right,3.0,0,0,0.45848163399932673,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
42,0.5,3.5,51.222255262000544,,51.21826001400041,51.222255262000544,51.71423452599993,51.71423452599993,51.71423452599993,52.003581803001,52.215643062998424,right,3.5,1,1,0.4942087960007484,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
43,0.5,3.5,52.2199798080037,,52.215893462001986,52.2199798080037,52.714191140003095,52.714191140003095,52.71942480500002,53.002996344002895,53.96759539100458,right,3.5,0,0,1.2459748039982514,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
44,0.5,4.0,53.971288972003094,,53.967768752001575,53.971288972003094,54.46487848000106,54.46487848000106,54.47151773200312,,54.70106873400073,left,-4.0,0,0,0.22388230499927886,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
45,0.5,4.5,54.70547012099996,,54.70124116200168,54.70547012099996,55.197766703000525,55.197766703000525,55.203001779998885,55.4856880360021,55.95664991400554,left,-4.5,0,0,0.7531853609980317,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
46,0.5,5.0,55.963984449001146,,55.95691616600379,55.963984449001146,56.45333352799935,56.45333352799935,56.45333352799935,56.74798165399989,59.05100674000278,left,-5.0,0,0,2.590651569000329,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
