delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Beep.started,sound_1.started,sound_1.stopped,Beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,234,6,19,space,0.20871615600481164,None,25,1,[1.1968529040022986],[1.1968688019987894],19,6,234,5,1009.7236127119977,,1009.7177527099993,1009.7236127119977,1010.7148053929996,1010.7148053929996,1010.7214678539967,1010.9330380839965,space,0.20871615600481164,None,1010.9335804549992,1011.6373039426655,1011.9410776160003,1011.9243319279994,1011.9252039619969,1011.9410776160003,1011.9410776160003,1011.9410776160003,1013.1390269030016,25,1,[1.1968529040022986],[1.1968688019987894],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.1,1000,exp,235,7,19,space,0.44686153100337833,None,331,1,[1.7140015099939774],[1.7140168919941061],19,7,235,3,1013.1485746809994,,1013.1392735319969,1013.1485746809994,1014.1384466320014,1014.1384466320014,1014.1384466320014,1014.591619564002,space,0.44686153100337833,None,1014.5921722260027,1014.6980087126688,1015.0011677930015,1014.9847092139971,1014.9854237850013,1015.0011677930015,1015.0011677930015,1015.0011677930015,1016.7164233299991,331,1,[1.7140015099939774],[1.7140168919941061],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.4,1000,exp,236,8,19,space,0.2958078689989634,None,313,1,[1.453256248998514],[1.4532674489964847],19,8,236,4,1016.7226906299984,,1016.716664779,1016.7226906299984,1017.714623205,1017.714623205,1017.7211588560021,1018.0168578040029,space,0.2958078689989634,None,1018.0174219379987,1018.422039461668,1018.7247898439964,1018.7084342289963,1018.7091343630018,1018.7247898439964,1018.7247898439964,1018.7247898439964,1020.1797883320032,313,1,[1.453256248998514],[1.4532674489964847],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.7,400,unexp,237,9,19,space,0.3701351589988917,None,313,1,[1.7614246169978287],[1.7614362219974282],19,9,237,2,1020.1863141270005,,1020.1800306790028,1020.1863141270005,1021.171313523002,1021.171313523002,1021.181161499997,1021.5506527809994,space,0.3701351589988917,None,1021.5512183419996,1022.2536246966667,1022.5594072270032,1022.5410573720001,1022.5417552759973,1022.5594072270032,1022.5594072270032,1022.5594072270032,1024.3220646789996,313,1,[1.7614246169978287],[1.7614362219974282],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.7,1000,exp,238,10,19,space,1.328326533002837,None,754,1,[1.65965748099552],[1.6596690169972135],19,10,238,11,1024.330233255001,,1024.3223147079989,1024.330233255001,1025.3145145160015,1025.3145145160015,1025.3210518479973,1026.6508846490033,space,1.328326533002837,None,1026.651667170001,1027.354856264665,1027.6678906509987,1027.6516456769968,1027.6523497949966,1027.6678906509987,1027.6678906509987,1027.6678906509987,1029.3292794890003,754,1,[1.65965748099552],[1.6596690169972135],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.4,400,unexp,239,11,19,space,0.8445826099996339,None,532,1,[1.4382032319990685],[1.4382211880001705],19,11,239,1,1029.3355771869974,,1029.329630401,1029.3355771869974,1030.3209816939998,1030.3209816939998,1030.332196426003,1031.1733784250027,space,0.8445826099996339,None,1031.1739582750015,1031.58116532167,1031.884885749998,1031.8680240289978,1031.8687865839966,1031.884885749998,1031.884885749998,1031.884885749998,1033.3242856009965,532,1,[1.4382032319990685],[1.4382211880001705],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.7,1000,exp,240,0,20,space,0.43186440199497156,None,523,1,[1.7775858259992674],[1.7776075590008986],20,0,240,5,1033.3324108710003,,1033.3245855189962,1033.3324108710003,1034.322765871002,1034.322765871002,1034.322765871002,1034.758132695999,space,0.43186440199497156,None,1034.758765466002,1035.4649505166637,1035.7690776000018,1035.7521730820008,1035.7530317069977,1035.7690776000018,1035.7690776000018,1035.7690776000018,1037.5485376220022,523,1,[1.7775858259992674],[1.7776075590008986],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.4,1000,exp,241,1,20,space,0.4349655080004595,None,331,1,[1.6621005779961706],[1.6621160979993874],20,1,241,4,1037.5568179960028,,1037.5490233960008,1037.5568179960028,1038.539115161002,1038.539115161002,1038.5579855199976,1038.983456699003,space,0.4349655080004595,None,1038.9841034269994,1039.3872953816647,1039.6951544129988,1039.6752311210003,1039.6760897170025,1039.6951544129988,1039.6951544129988,1039.6951544129988,1041.3587030799972,331,1,[1.6621005779961706],[1.6621160979993874],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.1,1000,exp,242,2,20,space,0.38607448199763894,None,112,1,[2.989366939997126],[2.9893811079964507],20,2,242,3,1041.3681172770011,,1041.3590110099976,1041.3681172770011,1042.3558088459977,1042.3558088459977,1042.3653971270032,1042.752197709,space,0.38607448199763894,None,1042.752852710997,1042.8543511536666,1043.163726450999,1043.141426340997,1043.1424406750011,1043.163726450999,1043.163726450999,1043.163726450999,1046.1546535980015,112,1,[2.989366939997126],[2.9893811079964507],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
0.1,1000,exp,243,3,20,space,0.32308096199994907,None,123,1,[2.1763523440022254],[2.1763703010001336],20,3,243,6,1046.162227162,,1046.1549664569975,1046.162227162,1047.149477979001,1047.149477979001,1047.1575591759974,1047.4750922649982,space,0.32308096199994907,None,1047.4757692670028,1047.5813413516628,1047.8871137390015,1047.8680859230008,1047.8691039719997,1047.8871137390015,1047.8871137390015,1047.8871137390015,1050.0652698589984,123,1,[2.1763523440022254],[2.1763703010001336],992430,001,2024-11-13_13h46.00.122,IntentionBinding_Experiment,2024.2.1,80.31990841212867,2024-11-13 13h46.36.262430 +0530,
