pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,135,135,34,c,1,0.413388617000237,None,,,,,34,135,135,2,828.151234858,,828.1407083949998,828.151234858,829.1375643390002,829.1375643390002,829.1375643390002,829.1375643390002,829.1445918520003,830.1409279220006,830.1409279220006,830.5742428070007,,,,,c,1,0.413388617000237,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,136,136,37,z,1,0.498446565001359,None,,,,,37,136,136,3,830.5875103409999,,830.574822808001,830.5875103409999,831.5783882079995,831.5783882079995,831.5783882079995,831.5783882079995,831.5783882079995,832.5717667270001,832.5717667270001,833.0789260300007,,,,,z,1,0.498446565001359,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,137,137,38,z,1,0.5055152929999167,None,,,,,38,137,137,3,833.0889647069998,,833.079273976,833.0889647069998,834.0891634460004,834.0891634460004,834.0891634460004,834.0891634460004,834.0891634460004,835.0868375959999,835.0868375959999,835.5983565040005,,,,,z,1,0.5055152929999167,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
150,v,138,138,36,v,1,0.5176003239994316,None,,,,,36,138,138,1,835.609490574001,,835.5989661679996,835.609490574001,836.5954935820009,836.5954935820009,836.5954935820009,836.5954935820009,836.6062185459996,837.6038270580011,837.6038270580011,838.1360547940003,,,,,v,1,0.5176003239994316,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,139,139,39,z,1,0.38363748000119813,None,,,,,39,139,139,3,838.1423215550003,,838.1364872739996,838.1423215550003,839.1285272660007,839.1285272660007,839.1285272660007,839.1285272660007,839.1535981710003,840.1288321150005,840.1288321150005,840.5228830489996,,,,,z,1,0.38363748000119813,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-50,x,140,140,28,x,1,0.7227496390005399,None,,,,,28,140,140,0,840.5321484870001,,840.523255565,840.5321484870001,841.5206310970007,841.5206310970007,841.5206310970007,841.5206310970007,841.5279133069998,842.5368436240005,842.5368436240005,843.2651484050002,,,,,x,1,0.7227496390005399,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-50,x,141,141,29,x,1,0.5992767259995162,None,,,,,29,141,141,0,843.2746574089997,,843.265603744001,843.2746574089997,844.2610459429998,844.2610459429998,844.2610459429998,844.2610459429998,844.2707609469999,845.2615502549997,845.2615502549997,845.8747545580009,,,,,x,1,0.5992767259995162,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,142,142,35,c,1,0.8741721739988861,None,,,,,35,142,142,2,845.8864377419995,,845.875085523001,845.8864377419995,846.8702774600006,846.8702774600006,846.8702774600006,846.8702774600006,846.8773598860007,847.8707533310007,847.8707533310007,848.7484226680008,,,,,c,1,0.8741721739988861,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-50,x,143,143,30,x,1,0.4241254829994432,None,,,,,30,143,143,0,848.7599450939997,,848.7493883900006,848.7599450939997,849.7445064940002,849.7445064940002,849.7445064940002,849.7445064940002,849.7542252479998,850.7539634839995,850.7539634839995,851.1816695990001,,,,,x,1,0.4241254829994432,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-50,x,144,144,31,x,1,0.41432296899984067,None,,,,,31,144,144,0,851.192725072,,851.1822269610002,851.192725072,852.1776241759999,852.1776241759999,852.1776241759999,852.1776241759999,852.1878213420005,853.1786095259995,853.1786095259995,853.6062663749999,,,,,x,1,0.41432296899984067,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,145,145,36,c,1,0.39854638399992837,None,,,,,36,145,145,2,853.6166332810008,,853.6067621180009,853.6166332810008,854.6032909910009,854.6032909910009,854.6032909910009,854.6032909910009,854.6102400769996,855.6041708539997,855.6041708539997,856.006839181,,,,,c,1,0.39854638399992837,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,146,146,37,c,1,0.40905077400020673,None,,,,,37,146,146,2,856.0189362319998,,856.0073310500011,856.0189362319998,857.0044733300001,857.0044733300001,857.0044733300001,857.0044733300001,857.0117465429994,858.0036064960004,858.0036064960004,858.4169105410001,,,,,c,1,0.40905077400020673,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-150,z,147,147,40,z,1,0.4790229909995105,None,,,,,40,147,147,3,858.4285780070004,,858.4178560100008,858.4285780070004,859.4111479809999,859.4111479809999,859.4111479809999,859.4111479809999,859.421041560001,860.4113436139996,860.4113436139996,860.9059909829994,,,,,z,1,0.4790229909995105,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-50,x,148,148,32,x,1,0.7351403850007046,None,,,,,32,148,148,0,860.9197457040009,,860.9066365199997,860.9197457040009,861.9033303409997,861.9033303409997,861.9033303409997,861.9033303409997,861.9104552400004,862.9034509970006,862.9034509970006,863.646263568,,,,,x,1,0.7351403850007046,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-50,x,149,149,33,x,1,0.41037404800044897,None,,,,,33,149,149,0,863.6563468719996,,863.6466936830002,863.6563468719996,864.6439633240007,864.6439633240007,864.6439633240007,864.6439633240007,864.6543417520006,865.6456280040002,865.6456280040002,866.0729214540006,,,,,x,1,0.41037404800044897,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,150,150,38,c,1,0.5390424259985593,None,,,,,38,150,150,2,866.0850662100002,,866.0733995030005,866.0850662100002,867.0702242050011,867.0702242050011,867.0702242050011,867.0702242050011,867.0778956360009,868.0714031970001,868.0714031970001,868.6226056930009,,,,,c,1,0.5390424259985593,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
150,v,151,151,37,v,1,0.6872712959993805,None,,,,,37,151,151,1,868.6364266479995,,868.6231960679997,868.6364266479995,869.6197359449998,869.6197359449998,869.6197359449998,869.6197359449998,869.6261613130009,870.620446840001,870.620446840001,871.3219630200001,,,,,v,1,0.6872712959993805,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-50,x,152,152,34,x,1,0.5699081929997192,None,,,,,34,152,152,0,871.3363212210006,,871.3225700250005,871.3363212210006,872.3361438610009,872.3361438610009,872.3361438610009,872.3361438610009,872.3540229480004,873.3361921180003,873.3361921180003,873.9150420959995,,,,,x,1,0.5699081929997192,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
-50,x,153,153,35,x,1,0.4563743169983354,None,,,,,35,153,153,0,873.926647233,,873.9156954909995,873.926647233,874.9116802280005,874.9116802280005,874.9116802280005,874.9116802280005,874.9209438070011,875.9117390499996,875.9117390499996,876.3737471250006,,,,,x,1,0.4563743169983354,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,154,154,39,c,1,0.6233193129992287,None,,,,,39,154,154,2,876.3848444840005,,876.3742726119999,876.3848444840005,877.3694828879998,877.3694828879998,877.3694828879998,877.3694828879998,877.3756533699998,878.3781645430008,878.3781645430008,879.0068122379998,,,,,c,1,0.6233193129992287,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
50,c,155,155,40,c,1,0.6343663160005235,None,,,,,40,155,155,2,879.017963874001,,879.0073008849995,879.017963874001,880.0040464390004,880.0040464390004,880.0040464390004,880.0040464390004,880.0204182310008,881.0024875889994,881.0024875889994,881.6406646690011,,,,,c,1,0.6343663160005235,None,085369,001,2024-10-14_17h59.26.468,MotorSequenceLearning,2024.2.1,81.93251805026416,2024-10-14 17h59.39.582131 +0530,
